id,abb_usps,abb_gpo,name,fips,eta_region,type,eta_region_name,eta_region_city,X,Y
34,NC,N.C.,North Carolina,37,3,state,Region 3,Atlanta,295.33321,-150
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,139.448637,-60
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,156.769145,-70
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,156.769145,-90
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,139.448637,-100
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,122.128129,-90
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,122.128129,-70
35,ND,N. Dak.,North Dakota,38,4,state,Region 4,Dallas,139.448637,-60
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,295.33321,-90
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,312.653718,-100
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,312.653718,-120
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,295.33321,-130
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,278.012702,-120
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,278.012702,-100
36,OH,Ohio,Ohio,39,5,state,Region 5,Chicago,295.33321,-90
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,174.089653,-180
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,191.410162,-190
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,191.410162,-210
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,174.089653,-220
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,156.769145,-210
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,156.769145,-190
37,OK,Okla.,Oklahoma,40,4,state,Region 4,Dallas,174.089653,-180
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,70.166605,-120
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,87.4871131,-130
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,87.4871131,-150
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,70.166605,-160
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,52.8460969,-150
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,52.8460969,-130
38,OR,Oreg.,Oregon,41,6,state,Region 6,San Francisco,70.166605,-120
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,329.974226,-90
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,347.294734,-100
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,347.294734,-120
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,329.974226,-130
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,312.653718,-120
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,312.653718,-100
39,PA,Pa.,Pennsylvania,42,2,state,Region 2,Philadelphia,329.974226,-90
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,416.576766,-60
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,433.897275,-70
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,433.897275,-90
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,416.576766,-100
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,399.256258,-90
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,399.256258,-70
40,RI,R.I.,Rhode Island,44,1,state,Region 1,Boston,416.576766,-60
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,329.974226,-150
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,347.294734,-160
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,347.294734,-180
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,329.974226,-190
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,312.653718,-180
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,312.653718,-160
41,SC,S.C.,South Carolina,45,3,state,Region 3,Atlanta,329.974226,-150
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,156.769145,-90
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,174.089653,-100
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,174.089653,-120
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,156.769145,-130
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,139.448637,-120
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,139.448637,-100
42,SD,S. Dak.,South Dakota,46,4,state,Region 4,Dallas,156.769145,-90
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,260.692194,-150
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,278.012702,-160
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,278.012702,-180
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,260.692194,-190
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,243.371686,-180
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,243.371686,-160
43,TN,Tenn.,Tennessee,47,3,state,Region 3,Atlanta,260.692194,-150
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,191.410162,-210
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,208.73067,-220
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,208.73067,-240
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,191.410162,-250
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,174.089653,-240
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,174.089653,-220
44,TX,Tex.,Texas,48,4,state,Region 4,Dallas,191.410162,-210
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,122.128129,-150
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,139.448637,-160
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,139.448637,-180
45,UT,Utah,Utah,49,4,state,Region 4,Dallas,122.128129,-190
